Student_ID,Teacher_Name,Section,Performance_Score,Late_Count,Attendance_Rate,Risk_Status,Feedback_Rating
1001,Marcus Chen,Mainstream-B,79,4,93.21,0,5
1002,David Okafor,Elite-A,83,4,72.94,0,5
1003,David Okafor,Foundational-C,63,4,85.15,0,4
1004,David Okafor,Mainstream-B,80,2,81.1,0,4
1005,David Okafor,Mainstream-B,73,3,80.47,0,3
1006,David Okafor,Foundational-C,85,4,81.43,0,4
1007,David Okafor,Mainstream-B,68,2,79.83,0,2
1008,Marcus Chen,Foundational-C,76,5,62.95,0,3
1009,Elena Rodriguez,Elite-A,85,3,80.13,0,2
1010,Marcus Chen,Foundational-C,80,1,83.94,0,2
1011,Marcus Chen,Elite-A,77,5,68.56,0,4
1012,Marcus Chen,Foundational-C,49,5,76.18,1,2
1013,Sarah Jenkins,Mainstream-B,72,2,77.11,0,4
1014,Elena Rodriguez,Foundational-C,87,2,93.08,0,5
1015,Elena Rodriguez,Mainstream-B,82,1,79.29,0,4
1016,Elena Rodriguez,Elite-A,65,3,68.26,0,4
1017,Elena Rodriguez,Foundational-C,100,4,63.4,0,2
1018,Sarah Jenkins,Foundational-C,82,0,91.04,0,2
1019,Priya Sharma,Foundational-C,46,5,63.24,1,1
1020,Priya Sharma,Foundational-C,59,2,71.39,0,1
1021,Marcus Chen,Mainstream-B,67,2,77.11,0,4
1022,Priya Sharma,Mainstream-B,48,2,79.22,1,2
1023,Priya Sharma,Elite-A,88,4,71.45,0,3
1024,David Okafor,Elite-A,77,2,89.69,0,3
1025,Elena Rodriguez,Foundational-C,79,2,73.53,0,5
1026,Priya Sharma,Elite-A,94,2,76.65,0,2
1027,David Okafor,Elite-A,69,2,76.36,0,5
1028,Marcus Chen,Mainstream-B,59,1,83.88,0,1
1029,David Okafor,Elite-A,99,5,98.3,0,4
1030,Priya Sharma,Mainstream-B,44,2,76.47,1,1
1031,Marcus Chen,Mainstream-B,60,4,93.99,0,3
1032,Priya Sharma,Mainstream-B,54,1,88.7,1,1
1033,Sarah Jenkins,Elite-A,73,1,77.73,0,3
1034,Elena Rodriguez,Elite-A,71,2,92.32,0,4
1035,Elena Rodriguez,Elite-A,68,4,61.98,0,5
1036,David Okafor,Mainstream-B,62,1,84.1,0,4
1037,Priya Sharma,Mainstream-B,91,4,69.55,0,5
1038,Marcus Chen,Elite-A,63,3,72.36,0,2
